ts,date,market,granularity,low,high,open,close,volume,close_pc,close_cpc,cma,sma5,sma8,sma13,sma20,sma50,sma200,ema8,ema12,ema26,goldencross,deathcross,bb20_upper,bb20_mid,bb20_lower,fbb_mid,fbb_upper0_236,fbb_upper0_382,fbb_upper0_5,fbb_upper0_618,fbb_upper0_786,fbb_upper1,fbb_lower0_236,fbb_lower0_382,fbb_lower0_5,fbb_lower0_618,fbb_lower0_786,fbb_lower1,rolling_mean,rolling_std,support,resistance,rsi14,stochrsi14k,stochrsi14d,williamsr14,macd,signal,obv,obv_pc,elder_ray_bull,elder_ray_bear,eri_buy,eri_sell,astral_buy,astral_sell,hammer,inverted_hammer,shooting_star,hanging_man,three_white_soldiers,three_black_crows,doji,three_line_strike,two_black_gapping,morning_star,evening_star,abandoned_baby,morning_doji_star,evening_doji_star,ema8gtema12,ema8gtema12co,ema8ltema12,ema8ltema12co,ema12gtema26,ema12gtema26co,ema12ltema26,ema12ltema26co,sma5gtsma8,sma5gtsma8co,sma5ltsma8,sma5ltsma8co,sma8gtsma13,sma8gtsma13co,sma8ltsma13,sma8ltsma13co,sma50gtsma200,sma50gtsma200co,sma50ltsma200,sma50ltsma200co,macdgtsignal,macdgtsignalco,macdltsignal,macdltsignalco,-di14,+di14,adx14,adx14_trend,adx14_strength,closegtbb20_upper,closegtbb20_upperco,closeltbb20_mid,closeltbb20_midco,closeltbb20_lower,closeltbb20_lowerco,closegtbb20_mid,closegtbb20_midco
2023-02-19 23:00:00,2023-02-19 23:00:00,MATICUSDT,1h,1.4746,1.4917,1.4904,1.4785,3584985.8,0.0,0.0,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,1.4785,False,False,1.4785,1.4785,1.4785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4785,0.0,0.0,3584985.8,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 00:00:00,2023-02-20 00:00:00,MATICUSDT,1h,1.4704,1.4918,1.4785,1.473,3820669.9,-0.003719986472776382,-0.003719986472776382,1.4757500000000001,1.473,1.473,1.473,1.473,1.473,1.473,1.473,1.473,1.473,False,False,1.473,1.473,1.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.473,0.0,0.0,-235684.1000000001,-106.57,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 01:00:00,2023-02-20 01:00:00,MATICUSDT,1h,1.4311,1.4737,1.4729,1.4615,13037141.6,-0.007807196198234889,-0.011498140006763524,1.471,1.4615,1.4615,1.4615,1.4615,1.4615,1.4615,1.4615,1.4615,1.4615,False,False,1.4615,1.4615,1.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4615,0.0,0.0,-13272825.7,5531.62,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 02:00:00,2023-02-20 02:00:00,MATICUSDT,1h,1.4538,1.4781,1.4617,1.4764,3282965.5,0.010195005131713897,-0.0014203584714237438,1.47235,1.4764,1.4764,1.4764,1.4764,1.4764,1.4764,1.4764,1.4764,1.4764,False,False,1.4764,1.4764,1.4764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4764,0.0,0.0,-9989860.2,-24.73,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 03:00:00,2023-02-20 03:00:00,MATICUSDT,1h,1.472,1.4861,1.4764,1.4827,2606161.0,0.004267136277431582,0.0028407169428474877,1.4744199999999998,1.4744199999999998,1.4827,1.4827,1.4827,1.4827,1.4827,1.4827,1.4827,1.4827,False,False,1.4827,1.4827,1.4827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4827,0.0,0.0,-7383699.199999999,-26.09,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 04:00:00,2023-02-20 04:00:00,MATICUSDT,1h,1.4809,1.4917,1.4828,1.4904,2723509.8,0.005193228569501551,0.008048698004734511,1.4770833333333335,1.4768,1.4904,1.4904,1.4904,1.4904,1.4904,1.4904,1.4904,1.4904,False,False,1.4904,1.4904,1.4904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4904,0.0,0.0,-4660189.399999999,-36.89,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 05:00:00,2023-02-20 05:00:00,MATICUSDT,1h,1.4839,1.4925,1.4904,1.4924,2375325.0,0.0013419216317767102,0.009401420358471357,1.4792714285714286,1.48068,1.4924,1.4924,1.4924,1.4924,1.4924,1.4924,1.4924,1.4924,False,False,1.4924,1.4924,1.4924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4924,0.0,0.0,-2284864.3999999994,-50.97,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 06:00:00,2023-02-20 06:00:00,MATICUSDT,1h,1.4865,1.494,1.4924,1.4913,2020400.0,-0.0007370678102384121,0.008657423063916259,1.480775,1.48664,1.480775,1.4913,1.4913,1.4913,1.4913,1.480775,1.4913,1.4913,False,False,1.4913,1.4913,1.4913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4913,0.0,0.0,-4305264.399999999,88.43,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 07:00:00,2023-02-20 07:00:00,MATICUSDT,1h,1.4885,1.4959,1.4912,1.4932,2052810.8,0.0012740561925836946,0.009942509299966318,1.4821555555555554,1.4899999999999998,1.4826124999999999,1.4932,1.4932,1.4932,1.4932,1.4835361111111112,1.4932,1.4932,False,False,1.4932,1.4932,1.4932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4932,0.0,0.0,-2252453.5999999996,-47.68,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
2023-02-20 08:00:00,2023-02-20 08:00:00,MATICUSDT,1h,1.478,1.4965,1.4932,1.4812,3247299.4,-0.008036431824270052,0.0018261751775450197,1.4820600000000002,1.4897,1.4836374999999997,1.4812,1.4812,1.4812,1.4812,1.483016975308642,1.4812,1.4812,False,False,1.4812,1.4812,1.4812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,1.4812,0.0,0.0,-5499753.0,144.17,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,27.311876669474312,17.321209291204458,35.24850333900302,bear,strong,False,False,False,False,False,False,False,False
